Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Funding Details,Funding Text 1,Funding Text 2,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID
"Delgado M., Meil G., Zamora López F.","15032524100;14030562800;6506089743;","Spain: Short on children and short on family policies",2008,"Demographic Research","19",, 27,"1059","1104",,27,"10.4054/DemRes.2008.19.27","https://www.scopus.com/inward/record.uri?eid=2-s2.0-46849104025&doi=10.4054%2fDemRes.2008.19.27&partnerID=40&md5=c2fcb6a3217612a6de5c1a40154ed85f","Universidad Autónoma de Madrid, Madrid, Spain; Universidad Complutense de Madrid, Madrid, Spain","Delgado, M.; Meil, G., Universidad Autónoma de Madrid, Madrid, Spain; Zamora López, F., Universidad Complutense de Madrid, Madrid, Spain","Spain's total fertility rate has more than halved since 1975, when it was 2.8, to the present 1.3 (the lowest rate on record, 1.2, was reached in 1995). At the same time, the mean age at first childbirth has grown continually, seriously hindering any sustained recovery of fertility. Cohort fertility, in turn, has declined uninterruptedly since the 1941 cohort, and according to all estimates, this will drop to 1.6 for women born in the 1960s. A downturn in nuptiality, which has not been offset by a rise in consensual unions, along with the prevalence of contraceptives and abortion, have contributed substantially to falling fertility. Underlying this decrease is the profound cultural, social, and economic change that has raised the perceived costs of leaving the parental home and having children. The lack of any explicit family policy or transfers to compensate for such costs has reinforced that perception. © 2008 Delgado, Meil & Zamora López.",,,,,,"Universidad Autónoma de Madrid, Madrid, Spain; email: mdelgado@ieg.csic.es",,,14359871,,,,"English","Demogr. Res.",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-46849104025
"Vergauwen J., Wood J., De Wachter D., Neels K.","56646351300;55318761100;36717353400;36718004900;","Quality of demographic data in GGS Wave 1",2015,"Demographic Research","32","1",,"723","774",,26,"10.4054/DemRes.2015.32.24","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84929391139&doi=10.4054%2fDemRes.2015.32.24&partnerID=40&md5=341986da680a6b931c1830e663d4c1cc","University of Antwerp, Belgium","Vergauwen, J., University of Antwerp, Belgium; Wood, J., University of Antwerp, Belgium; De Wachter, D., University of Antwerp, Belgium; Neels, K., University of Antwerp, Belgium","BACKGROUND: A key feature of the Generations & Gender Programme (GGP) is that longitudinal micro-data from the Generations and Gender Surveys (GGS) can be combined with indicators from the Contextual Database (CDB) that provide information on the macro-level context in which people live. This allows researchers to consider the impact of socio-cultural, economic, and policy contexts on changing demographic behaviour since the 1970s. The validity of longitudinal analyses combining individual-level and contextual data depends, however, on whether the micro-data give a correct account of demographic trends after 1970. OBJECTIVE: This article provides information on the quality of retrospective longitudinal data on first marriage and fertility in the first wave of the GGS. METHODS: Using the union and fertility histories recorded in the GGS, we compare period indicators of women's nuptiality and fertility behaviour for the period 1970-2005 and cohort indicators of nuptiality and fertility for women born after 1925 to population statistics. RESULTS: Results suggest that, in general, period indicators estimated retrospectively from the GGS are fairly accurate from the 1970s onwards, allowing exceptions for specific indicators in specific countries. Cohort indicators, however, were found to be less accurate for cohorts born before 1945, suggesting caution when using the GGS to study patterns of union and family formation in these older cohorts. CONCLUSIONS: The assessment of the validity of demographic data in the GGS provides country-specific information on time periods and birth cohorts for which GGS estimates deviate from population statistics. Researchers may use this information to decide on the observation period or cohorts to include in their analysis, or use the results as a starting point for a more detailed analysis of item nonresponse in union and fertility histories, which may further improve the quality of GGS estimates, particularly for these earlier periods and older birth cohorts. COMMENTS: Detailed country-specific results are included in an appendix to this paper, available for download from the additional material section. © 2015 Vergauwen, Wood, De Wachter & Neels.",,,,,,"Vergauwen, J.; University of AntwerpBelgium",,"Max Planck Institute for Demographic Research",14359871,,,,"English","Demogr. Res.",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-84929391139
"Klesment M., Puur A., Rahnu L., Sakkeus L.","30767661100;23009950700;55598419000;23009753800;","Varying association between education and second births in Europe: Comparative analysis based on the EU-SILC data",2014,"Demographic Research","31","1",,"813","860",,26,"10.4054/DemRes.2014.31.27","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84920269384&doi=10.4054%2fDemRes.2014.31.27&partnerID=40&md5=328465dcb8dd70de1e81d51baedba8c9","Estonian Institute for Population Studies, Tallinn University, Estonia; Centre for Sociological Research, University of Leuven, Belgium","Klesment, M., Estonian Institute for Population Studies, Tallinn University, Estonia, Centre for Sociological Research, University of Leuven, Belgium; Puur, A., Estonian Institute for Population Studies, Tallinn University, Estonia; Rahnu, L., Estonian Institute for Population Studies, Tallinn University, Estonia; Sakkeus, L., Estonian Institute for Population Studies, Tallinn University, Estonia","Background: Previous research has shown considerable variation in the relationship between women's educational attainment and second births in contemporary Europe. A negative association is found in some countries, while a positive or non-negative relationship is reported in others. Existing studies come mainly from single-country perspectives, which renders the results not strictly comparable. Objective: We investigate the association between women's and their partners' educational attainment and transition to second births comparatively in regions and sub-regions of Europe. Methods: The data come from the 2005 and 2011 waves of the EU Statistics on Income and Living Conditions (EU-SILC). We estimate separate discrete-time event history models for regions and sub-regions and multilevel models for all EU-SILC countries. Results: Northern Europe exhibits a positive association between women's and their partners' education and second childbearing. Western Europe features a positive relationship among partners but demonstrates a U-shaped pattern among women. This pattern occurs due to German-speaking countries where women's educational attainment appears inversely related to second births. A negative relationship between women's education and second childbearing also prevails in Eastern Europe; in some sub-regions it extends to male partners. Except for in Eastern Europe, the time-squeeze adds to the positive effect of women's high education. In Northern Europe it enables highly educated women to wholly catch up with their counterparts with medium and low education as regards the proportion having second births. In Southern Europe, by contrast, the educational gradient turns negative following the consideration of the time-squeeze effect. Conclusions: We conclude that the relationship between educational attainment and second births varies not only by individual country but also by larger geographical area in Europe. Although smaller in scale than among women, the variation also extends to male partners. © 2014 Klesment, Puur, Rahnu and Sakkeus.",,,,,,,,"Max Planck Institute for Demographic Research",14359871,,,,"English","Demogr. Res.",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-84920269384
"Pilkauskas N.V., Martinson M.L.","25028626000;37081394000;","Three-generation family households in early childhood: Comparisons between the United States, the United Kingdom, and Australia",2014,"Demographic Research","30","1",,"1639","1652",,26,"10.4054/DemRes.2014.30.60","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84902467248&doi=10.4054%2fDemRes.2014.30.60&partnerID=40&md5=35ec054505dbe079995392fe1b705772","Columbia Population Research Center, Columbia University's School of Social Work, Columbia University, United States; University of Washington's School of Social Work, University of Washington, United States","Pilkauskas, N.V., Columbia Population Research Center, Columbia University's School of Social Work, Columbia University, United States; Martinson, M.L., University of Washington's School of Social Work, University of Washington, United States","BACKGROUND Shifting demographic trends in the United States (US) have resulted in increasing numbers of three-generation family households, where a child lives with a parent(s) and grandparent(s). Although similar demographic trends have been occurring in the United Kingdom (UK) and Australia, very little research has studied three-generation coresidence in these countries and no research has documented trends cross-nationally. OBJECTIVE We investigate differences in the rates of three-generation coresidence in early childhood cross-nationally. METHOD This study uses three longitudinal birth cohort studies to investigate cross-national differences in three-generation coresidence in early childhood: the Early Childhood Longitudinal Study - Birth Cohort for the US, the Millennium Cohort Study for the UK, and the Longitudinal Study of Australian Children - Birth Cohort. RESULTS We find that nearly one-quarter of US children live in a three-generation household during early childhood, compared to 8% of children in the UK and 11% in Australia. Although there are large differences in the frequency of coresidence cross-nationally, we find that similar demographic groups live in three-generation households across contexts. In general, younger, less educated, lower income, and minority mothers are more likely to live in three-generation households in all three countries. © 2014 Natasha V. Pilkauskas & Melissa L. Martinson.",,,,,,,,"Max Planck Institute for Demographic Research",14359871,,,,"English","Demogr. Res.",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-84902467248
"Van Bavel J.","6701399755;","The mid-twentieth century baby boom and the changing educational gradient in Belgian cohort fertility",2014,"Demographic Research","30","1",,"925","962",,26,"10.4054/DemRes.2014.30.33","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84897943291&doi=10.4054%2fDemRes.2014.30.33&partnerID=40&md5=5faedaafbe727cfb36bd68060b9194c8","Centre for Sociological Research, University of Leuven (KU Leuven), Belgium","Van Bavel, J., Centre for Sociological Research, University of Leuven (KU Leuven), Belgium","Background The historical transition towards low fertility in many Western countries was interrupted during the period around the 1950s and '60s, called the Baby Boom. This upturn in fertility was completely unanticipated. One of the reasons for expecting continued fertility decline rather than fertility recovery was the expansion of female participation in higher education. Objective This research investigates how the recovery of fertility and declining ages at first birth observed during the Baby Boom era can be reconciled with the expansion of female participation in education. How did the pre-existing negative educational gradient in fertility evolve in the cohorts that produced the Baby Boom? Methods Using Belgian 1981 Census data, I estimate retrospective measures of cohort fertility. Potential sources of bias in the retrospective data are discussed. Trends in timing and quantum components are charted by women's levels of educational attainment for cohorts born between 1901 and 1940. A counterfactual simulation is used to delineate the role played by the changing educational gradient in completed fertility. Results The recovery of fertility was pervasive in Belgium, but there was a clear convergence between educational groups in terms of the quantum of fertility. Both low and high parity births increased: childlessness declined particularly among the highly educated while the share of women with three or more births went up in all educational groups, but most sharply among the highly educated. The educational gradient in completed fertility was strongly reduced. Without this shift, the recovery of completed fertility would have been about 25% less than its actual magnitude. The educational gradient forage at first birth remained stable: ages at first childbirth declined across all levels of educational attainment. Conclusions Convergence in the quantum of fertility across educational groups suggests a major weakening of the role incompatibility between obtaining a degree in higher education on the one hand and subsequently getting married and having children on the other hand. Declining ages at first marriage and childbirth indicate that this period was generally conducive to family formation. The reduction in the educational gradient was a crucial ingredient of the emergence of today's fertility patterns. © 2014 Jan Van Bavel.",,,,,,"Van Bavel, J.; Centre for Sociological Research, University of Leuven (KU Leuven)Belgium; email: Jan.VanBavel@soc.kuleuven.be",,"Max Planck Institute for Demographic Research",14359871,,,,"English","Demogr. Res.",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-84897943291
"Basten S., Lutz W., Scherbov S.","57210349462;55259243300;6602118817;","Very long range global population scenarios to 2300 and the implications of sustained low fertility",2013,"Demographic Research","28",,,"1145","1166",,26,"10.4054/DemRes.2013.28.39","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84884321746&doi=10.4054%2fDemRes.2013.28.39&partnerID=40&md5=664bcc192ada85e23f2bf4c0b7fdb0fe","Department of Social Policy and Intervention, University of Oxford, United Kingdom; Wittgenstein Centre for Demography and Global Human Capital (IIASA, VID/öAW, WU), International Institute for Applied Systems Analysis, Austria","Basten, S., Department of Social Policy and Intervention, University of Oxford, United Kingdom; Lutz, W., Wittgenstein Centre for Demography and Global Human Capital (IIASA, VID/öAW, WU), International Institute for Applied Systems Analysis, Austria; Scherbov, S., Wittgenstein Centre for Demography and Global Human Capital (IIASA, VID/öAW, WU), International Institute for Applied Systems Analysis, Austria","Background: Depending on whether the global level of fertility is assumed to converge to the current European TFR (~1.5) or that of Southeast Asia or Central America (~2.5), global population will either decline to 2.3-2.9 billion by 2200 or increase to 33-37 billion, if mortality continues to decline. Furthermore, sizeable human populations exist where the voluntarily chosen ideal family size is heavily concentrated around one child per woman with TFRs as low as 0.6-0.8. However, the UN population projections to 2300 use a much narrower band of possible future TFRs. Objective: If the two-child norm is not necessarily the end-point of transition, what would be the consequences of the currently reported low fertility rates being sustained and becoming widespread? Methods: We present new projections for 13 IPCC world regions with scenarios calculated on the basis of regular cohort-component projections by age and sex in single-year time steps up to 2300, each based upon a much broader set of fertility assumptions than currently employed. We create three mortality scenarios based upon maximum life expectancies of 90, 100, and 110, as well as a series of 'special' scenarios. Results: Even under conditions of further substantial increases in life expectancy, world population size would decline significantly if the world in the longer run followed the current examples of Europe and East Asia. Conclusions: In contrast to Malthusian disaster scenarios, our exercise illustrates the distinct possibility of significant population shrinking associated with increasing life expectancy and human well-being. © 2013 Stuart Basten, Wolfgang Lutz & Sergei Scherbov.",,,"Seventh Framework Programme, FP7: 230195

Economic and Social Research Council, ESRC: ES/K001434/1",,,"Basten, S.; Department of Social Policy and Intervention, United Kingdom; email: stuart.basten@spi.ox.ac.uk",,,14359871,,,,"English","Demogr. Res.",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-84884321746
"Lesthaeghe R., Lopez-Gay A.","6602172967;55129206000;","Spatial continuities and discontinuities in two successive demographic transitions: Spain and Belgium, 1880-2010",2013,"Demographic Research","28",,,"77","136",,26,"10.4054/DemRes.2013.28.4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84884172698&doi=10.4054%2fDemRes.2013.28.4&partnerID=40&md5=58bb3e91973b06d75336d3cd7a38ba08","Vrije Universiteit (VUB), Royal Academy of Sciences, Brussels, Belgium; Centre d'Estudis Demogràfics, Edifici E2, 08193 Bellaterra, Spain","Lesthaeghe, R., Vrije Universiteit (VUB), Royal Academy of Sciences, Brussels, Belgium; Lopez-Gay, A., Centre d'Estudis Demogràfics, Edifici E2, 08193 Bellaterra, Spain","This is a study of how the synergisms between cultural and structural factors, which played a major role during the historical fertility and nuptiality transition (first demographic transition or FDT), have continued to condition demographic innovations connected to the ""second demographic transition"" (SDT). The continuity or discontinuity from the ""first"" to the ""second"" demographic transition is studied for spatial aggregates over more than a century in two national contexts, i.e. Belgium and Spain. Special attention is paid to the role of successive secularization waves in shaping the geographical patterns of both transitions. The study also shows that the maps of the two aspects of the SDT, i.e. the ""postponement"" and the ""non-conformism"" transitions respectively, are shaped by different determinants. Explanations are offered using the ""Ready, Willing, and Able"" paradigm, which allows us to uncover the different conditioning and limiting factors involved. The ""non-conformist"" transitions (control of marital fertility during the FDT and rise of cohabitation and non-conventional family formation during the SDT) more closely mirror the history of secularization and the ""Willingness"" condition, whereas the fertility postponement aspect of the SDT mainly reflects female education and employment, or the ""Readiness"" condition. This generalization holds in both countries. However, in Belgium spatial continuity from FDT to SDT is connected to stable patterns of secularization, whereas in Spain it is linked to long standing differences with respect to female literacy and education. © 2013 Lesthaeghe & Lopez-Gay.",,,"Seventh Framework Programme, FP7: 240978",,,"Lesthaeghe, R.; Emeritus professor Vrije Universiteit (VUB), , Brussels, Belgium; email: rlesthaeghe@yahoo.com",,,14359871,,,,"English","Demogr. Res.",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-84884172698
"Tsuya N.O., Bumpass L.L., Choe M.K., Rindfuss R.R.","7005990814;7004675437;7005993195;7003716218;","Employment and household tasks of Japanese couples, 1994-2009",2012,"Demographic Research","27",,,"705","718",,26,"10.4054/DemRes.2012.27.24","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84870329102&doi=10.4054%2fDemRes.2012.27.24&partnerID=40&md5=71cf5c8b2e26337dfb52938a90cf00ba","Department of Economics, Keio University, Tokyo, Japan; University of Wisconsin, Madison, Wisconsin, United States; East-West Center, Honolulu, Hawaii, United States; East-West Center and University of North Carolina, Chapel Hill, North Carolina, United States","Tsuya, N.O., Department of Economics, Keio University, Tokyo, Japan; Bumpass, L.L., University of Wisconsin, Madison, Wisconsin, United States; Choe, M.K., East-West Center, Honolulu, Hawaii, United States; Rindfuss, R.R., East-West Center and University of North Carolina, Chapel Hill, North Carolina, United States","Objective: The paper examines changes in the relationship between employment and household tasks of Japanese couples, using data drawn from national cross-sectional surveys in 1994, 2000, and 2009 of persons aged 20-49, and from the 2009 follow-up of the 2000 survey. Results: Wives' employment is structured by their husbands' employment time and earning power, as well as by their family situations, including the presence and age of children and co-residence with parents. Housework hours of husbands, though very low, increased over time, while wives' hours decreased. Wives' housework time decreases as their employment time increases. Marriage dramatically increases women's housework time but produces little change in men's time. Husbands' housework hours are positively correlated with reported marital satisfaction of both spouses. © 2012 Noriko O. Tsuya et al.",,,"Japan Society for the Promotion of Science, JSPS: 24330110",,,"Tsuya, N.O.; Department of Economics, Japan; email: tsuya@econ.keio.ac.jp",,,14359871,,,,"English","Demogr. Res.",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-84870329102
"Shoff C., Yang T.-C.","36802449500;25959416500;","Spatially varying predictors of teenage birth rates among counties in the United States",2012,"Demographic Research","27",,,"377","418",,26,"10.4054/DemRes.2012.27.14","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84870315939&doi=10.4054%2fDemRes.2012.27.14&partnerID=40&md5=3a28c3133fc4d1e2d8dc3a8f0128ab58","Social Science Research Institute, Population Research Institute, Pennsylvania State University, 601 Oswald Tower, University Park, PA 16802, United States; Department of Biobehavioral Health, Social Science Research Institute, and Population Research Institute, Pennsylvania State University, 601 Oswald Tower, University Park, PA 16802, United States","Shoff, C., Social Science Research Institute, Population Research Institute, Pennsylvania State University, 601 Oswald Tower, University Park, PA 16802, United States; Yang, T.-C., Department of Biobehavioral Health, Social Science Research Institute, and Population Research Institute, Pennsylvania State University, 601 Oswald Tower, University Park, PA 16802, United States","Background: Limited information is available about teenage pregnancy and childbearing in rural areas, even though approximately 20 percent of the nation's youth live in rural areas. Identifying whether there are differences in the teenage birth rate (TBR) across metropolitan and nonmetropolitan areas is important because these differences may reflect modifiable ecological-level influences such as education, employment, laws, healthcare infrastructure, and policies that could potentially reduce the TBR. Objectives: The goals of this study are to investigate whether there are spatially varying relationships between the TBR and the independent variables, and if so, whether these associations differ between metropolitan and nonmetropolitan counties. Methods: We explore the heterogeneity within metropolitan/nonmetropolitan county groups separately using geographically weighted regression (GWR), and investigate the difference between metropolitan/nonmetropolitan counties using spatial regime models with spatial errors. These analyses were applied to county-level data from the National Center for Health Statistics and the US Census Bureau. Results: GWR results suggested that non-stationarity exists in the associations between TBR and determinants within metropolitan/nonmetropolitan groups. The spatial regime analysis indicated that the effect of socioeconomic disadvantage on TBR significantly varied by the metropolitan status of counties. Conclusions: While the spatially varying relationships between the TBR and independent variables were found within each metropolitan status of counties, only the magnitude of the impact of the socioeconomic disadvantage index is significantly stronger among metropolitan counties than nonmetropolitan counties. Our findings suggested that place-specific policies for the disadvantaged groups in a county could be implemented to reduce TBR in the US. © 2012 Carla Shoff & Tse-Chuan Yang.",,,,,,"Shoff, C.; Social Science Research Institute, 601 Oswald Tower, University Park, PA 16802, United States; email: carlashoff@psu.edu",,,14359871,,,,"English","Demogr. Res.",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-84870315939
"England P., Shafer E.F., Wu L.L.","7102445759;36342940900;7404904223;","Premarital conceptions, postconception (""shotgun"") marriages, and premarital first births: Education gradients in U.S. cohorts of white and black women born 1925-1959",2012,"Demographic Research","27",,,"153","166",,26,"10.4054/DemRes.2012.27.6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84865968506&doi=10.4054%2fDemRes.2012.27.6&partnerID=40&md5=fbeaa6d2acec8dd3ef83cfa4e4bac02f","New York University; Harvard University","England, P., New York University; Shafer, E.F., Harvard University; Wu, L.L., New York University","BACKGROUND: In the U.S. today, premarital first births occur disproportionately to women with low education and income. We lack studies of whether this education gradient was present in cohorts born earlier. OBJECTIVE: We examine education differences in the proportion of U.S. white and black women who: (a) experienced a premarital conception taken to term resulting in a first birth, and (b) had a premarital first birth by age 35. Among those experiencing a premarital conception, we examine the association between education and whether women married before the birth. We examine these patterns for birth cohorts born between 1925 and 1959. METHODS: We use the 1980, 1985, 1990, and 1995 June Fertility Supplements from the U.S. Current Population Survey to examine cohorts of women born between 1925 and 1959. The survey asked women the dates of their first marriage and their first birth, allowing us to determine premarital conceptions taken to term, and whether the resulting first births occurred within or outside of first marriage. We present descriptive information on the proportion of black and white women in each cohort who experienced the events of interest by age 35. RESULTS: For all cohorts, women with low education were generally more likely than their more educated counterparts to experience premarital conceptions and premarital first births. For blacks, but not whites, who experienced a premarital conception that was taken to term, those with more education were more likely to marry before the birth. CONCLUSIONS: In the U.S., the concentration of premarital conceptions and premarital first births among less educated women was present for cohorts extending back to those born in 1925. © 2012 England, Shafer & Wu.",,,,,,"England, P.; New York University",,,14359871,,,,"English","Demogr. Res.",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-84865968506
"Prskawetz A., Sobotka T., Buber I., Engelhardt H., Gisser R.","7003549426;35249538300;23479508500;7102312505;23479697900;","Austria: Persistent low fertility since the mid-1980s",2008,"Demographic Research","19",, 12,"293","356",,26,"10.4054/DemRes.2008.19.12","https://www.scopus.com/inward/record.uri?eid=2-s2.0-46849084582&doi=10.4054%2fDemRes.2008.19.12&partnerID=40&md5=dbf31cb7e75ec4f26b92e00c83e5b2a8","Vienna Institute of Technology, Vienna Institute of Demography, Vienna, Austria; Vienna Institute of Demography, Vienna, Austria; Otto-Friedrich-Universität Bamberg, Bamberg, Germany","Prskawetz, A., Vienna Institute of Technology, Vienna Institute of Demography, Vienna, Austria; Sobotka, T., Vienna Institute of Demography, Vienna, Austria; Buber, I., Vienna Institute of Demography, Vienna, Austria; Engelhardt, H., Otto-Friedrich-Universität Bamberg, Bamberg, Germany; Gisser, R., Vienna Institute of Demography, Vienna, Austria","This chapter offers an in-depth analysis of fertility in Austria, a country which has experienced a low and relatively stable fertility level and a gradual postponement of childbearing since the mid-1980s. We begin by summarising Austrian population trends in the post-World War II period and highlighting recent relatively high migration levels. We outline the long history of sub-replacement fertility and high childlessness in Austria and look in detail at recent parity-specific developments, trends in family size, delayed childbearing and persistent fertility differences by education level, country of origin and religious affiliation. The chapter then summarises main trends in family-related behaviour, including the changing patterns of leaving parental home; the rise in cohabitation, the decline in marriage and the rise of divorce and the diversity in non-marital childbearing, which has a long tradition in many parts of the country. We discuss the development of family policies in Austria and their relationship to fertility during the past decades. Social policies in Austria provide only a limited support for a reconciliation of childrearing and employment aniong mothers with children below the age of three. A combination of one of the highest family spending rates among the OECD countries and the low fertility rates indicate that structural constraints (such as the availability of childcare) constitute part of the explanation of low fertility. © 2008 Prskawetz et al.",,,,,,"Prskawetz, A.; Vienna Institute of Technology, , Vienna, Austria; email: afp@econ.tuwien.ac.at.at",,,14359871,,,,"English","Demogr. Res.",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-46849084582
"Mureşan C., Hǎrǎguş P.-T., Hǎrǎguş M., Schröder C.","23482266400;24465012000;24464816200;24465990500;","Romania: Childbearing metamorphosis within a changing context",2008,"Demographic Research","19",, 23,"855","906",,26,"10.4054/DemRes.2008.19.23","https://www.scopus.com/inward/record.uri?eid=2-s2.0-46849083886&doi=10.4054%2fDemRes.2008.19.23&partnerID=40&md5=bee087dc01b7db451a586d9dbd760d49","Babeş-Bolyai University, Cluj, Romania; Max Planck Institute for Demographic Research, Germany","Mureşan, C., Babeş-Bolyai University, Cluj, Romania; Hǎrǎguş, P.-T., Babeş-Bolyai University, Cluj, Romania; Hǎrǎguş, M., Babeş-Bolyai University, Cluj, Romania; Schröder, C., Max Planck Institute for Demographic Research, Germany","In 1989, the socialist regime in Romania collapsed and the state's coercive pro-natalist policy ended. Since then, fertility has gone through major changes, namely, a massive reduction in fertility and important structural changes: birth postponement, an end to universal childbearing, and the emergence of non-marital births. Family formation has been postponed, but a pattern of early marriage still persists compared to other European countries. Although unmarried cohabitation is rising, it is rarely seen as an alternative to marriage. Modern contraceptive methods are being used increasingly, but traditional contraceptive methods continue to be widespread. Abortion, which was relegalized in 1989 and made available after two decades of prohibition, has been practiced extensively ever since, especially after first birth. Romanians in 2004 continue to have a universal preference for parenting. However, the preference for the two-child family has declined and the desire for a larger family has become the exception. The transformation of the socialist regime into a democratic society with a market economy generated a socio-economic crisis, and the majority of social benefits have therefore been oriented towards alleviating poverty. Other social policies, including those affecting the family, were redefined. However, fewer funds were made available than for those geared to promote economic development or reduce poverty and, as a consequence, their impact on childbearing has been small. © 2008 Mureşan et al.",,,,,,"Mureşan, C.; Babeş-Bolyai University, Cluj, Romania; email: cmuresan8@yahoo.com",,"Max Planck Institute for Demographic Research",14359871,,,,"English","Demogr. Res.",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-46849083886
"Rychtaříková J.","7003471744;","The case of the Czech Republic. Determinants of the recent favourable turnover in mortality",2004,"Demographic Research","10","SUPPL. 2",,"105","138",,26,"10.4054/demres.2004.s2.5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-4344610771&doi=10.4054%2fdemres.2004.s2.5&partnerID=40&md5=5cd6604cf6859d5f3a992b9034884389","Dept. of Demography/Geodemography, Faculty of Science, Cahrles University in Prague, Albertov 6, 128 43 Prague, Czech Republic","Rychtaříková, J., Dept. of Demography/Geodemography, Faculty of Science, Cahrles University in Prague, Albertov 6, 128 43 Prague, Czech Republic","Since the collapse of the socialist system at the beginning of the 1990s, the health situation in the Czech Republic has improved more rapidly than in other CEE countries. Mortality from circulatory diseases decreased significantly at higher ages. The recent decline in mortality is likely to be attributable to technical progress in medical treatment and less affected by the change in lifestyle. While the use of cardiovascular drugs and the number of operations of invasive heart-surgery considerably improved, smoking and alcohol consumption have somewhat augmented at the same time. The recent favourable turnover has currently brought the Czech Republic a little closer to the European average. © 2004 Max-Planck-Gesellschaft.",,,,,,"Rychtaříková, J.; Dept. of Demography/Geodemography, Albertov 6, 128 43 Prague, Czech Republic; email: rychta@natur.cuni.cz",,"Max Planck Institute for Demographic Research",14359871,,,,"English","Demogr. Res.",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-4344610771
"Burch T.K.","7005779481;","Demography in a new key: A theory of population theory",2003,"Demographic Research","9",,,"263","284",,26,"10.4054/DemRes.2003.9.11","https://www.scopus.com/inward/record.uri?eid=2-s2.0-2942750053&doi=10.4054%2fDemRes.2003.9.11&partnerID=40&md5=3568efea9aae968d3980f1104f466e27","University of Victoria, Victoria, BC, Canada","Burch, T.K., University of Victoria, Victoria, BC, Canada","The widespread opinion that demography is lacking in theory is based in part on a particular view of the nature of scientific theory, generally known as logical empiricism [or positivism]. A newer school of philosophy of science, the model-based view, provides a different perspective on demography, one that enhances its status as a scientific discipline. From this perspective, much of formal demography can be seen as a collection of substantive models of population dynamics [how populations and cohorts behave], in short, theoretical knowledge. And many theories in behavioural demography - often discarded as too old or too simplistic - can be seen as perfectly good scientific theory, useful for many purposes, although often in need of more rigorous statement. © 2003 Max-Planck-Gesellschaft.","Population theory",,,,,"Burch, T.; University of Victoria, Victoria, BC, Canada; email: tkburch@uvic.ca",,"Max Planck Institute for Demographic Research",14359871,,,,"English","Demogr. Res.",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-2942750053
"Bracher M., Santow G., Watkins S.C.","7004137792;6603712950;7201673172;","""Moving"" and marrying: Modeling HIV infection among newly-weds in Malawi",2003,"Demographic Research","9","SUPPL. 1",,"207","246",,26,"10.4054/demres.2003.s1.7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-1842795972&doi=10.4054%2fdemres.2003.s1.7&partnerID=40&md5=f8e8e3af0416953e1282705c111ab237","45 Kareela Road, Cremorne, NSW 2090, Australia; Department of Sociology, University of Pennsylvania, Philadelphia, PA, United States","Bracher, M.; Santow, G., 45 Kareela Road, Cremorne, NSW 2090, Australia; Watkins, S.C., Department of Sociology, University of Pennsylvania, Philadelphia, PA, United States","We use a microsimulation model to estimate the proportions of rural Malawian brides and grooms who are already HIV positive when they marry. The model, a demographic model of reproduction and mortality overlaid with a model of disease transmission, incorporates behavioural input data derived from the second round of the Malawi Diffusion and Ideational Change Project, which was conducted in three areas of rural Malawi in 2001. We estimate that HIV infection is present in between 13 and 20 per cent of couples. Although young women are more likely to be HIV positive than men of the same age, as a result of their low ages at marriage only around two per cent of brides are estimated to be HIV positive. © 2003 Max-Planck-Gesellschaft.",,,,,,"Santow, G.45 Kareela Road, Cremorne, NSW 2090, Australia; email: GSantow@bigpond.net.au",,"Max Planck Institute for Demographic Research",14359871,,,,"English","Demogr. Res.",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-1842795972
